song,artist,rel_date,lyrics
Highest in the Room,Travis Scott,2019-10-19,"I got room in my fumes (Yeah) She fill my mind up with ideas I'm the highest in the room (It’s lit) Hope I make it outta here (Let's go) She saw my eyes, she know I'm gone (Ah) I see some things that you might fear I’m doin' a show, I'll be back soon (Soon) That ain't what she wanna hear (Nah) Now I got her in my room (Ah) Legs wrapped around my beard Got the fastest car, it zoom (Skrrt) Hope we make it outta here (Ah) When I'm with you, I feel alive You say you love me, don't you lie (Yeah) Won't cross my heart, don't wanna die Keep the pistol on my side (Yeah) Case it’s fumes (Smoke) She fill my mind up with ideas (Straight up) I’m the highest in the room (It's lit) Hope I make it outta here (Let’s go, yeah) We ain't stressin' 'bout the loot (Yeah) My block made of quesería This not the molly, this the boot Ain’t no comin' back from here Live the life of La Familia It's so much gang that I can't see ya (Yeah) Turn it up 'til they can't hear (We can't) Runnin', runnin' 'round for the thrill Yeah, dawg, dawg, 'round my real (Gang) Raw, raw, I been pourin' to the real (Drank) Nah, nah, nah, they not back of the VIP (In the VIP) Gorgeous, baby, keep me hard as steel Ah, this my life, I did not choose Uh, been on this since we was kids We gon' stay on top and break the rules Uh, I fill my mind up with ideas Case it's fumes She fill my mind up with ideas (Straight up) I'm the highest in the room (I'm the highest, it's lit) Hope I make it outta here"
Truth Hurts,Lizzo,2019-10-26,"Why men great 'til they gotta be great? Woo! I just took a DNA test, turns out I'm 100% that bitch Even when I'm crying crazy Yeah, I got boy problems, that's the human in me Bling bling, then I solve 'em, that's the goddess in me You coulda had a bad bitch, non-committal Help you with your career just a little You're 'posed to hold me down, but you're holding me back And that's the sound of me not calling you back Why men great 'til they gotta be great? ('Til they gotta be great) Don't text me, tell it straight to my face (Tell it straight to my face) Best friend sat me down in the salon chair (Down in the salon chair) Shampoo press, get you out of my hair Fresh photos with the bomb lighting (With the bomb lighting) New man on the Minnesota Vikings (Minnesota Vikings) Truth hurts, needed something more exciting (Yee) Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah) You tried to break my heart? Oh, that breaks my heart That you thought you ever had it No, you ain't from the start Hey, I'm glad you're back with your bitch I mean, who would wanna hide this? I will never, ever, ever, ever, ever be your side chick I put the sing in single Ain't worried 'bout a ring on my finger So you can tell your friend, ""Shoot your shot"" when you see him It's okay, he already in my DMs Why men great 'til they gotta be great? ('Til they gotta be great) Don't text me, tell it straight to my face (Tell it straight to my face) Best friend sat me down in the salon chair (Down in the salon chair) Shampoo press, get you out of my hair Fresh photos with the bomb lighting (With the bomb lighting) New man on the Minnesota Vikings (Minnesota Vikings) Truth hurts, needed something more exciting (Yee) Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah) I'ma hit you back in a minute (Yeah, yeah) I don't play tag, bitch, I been it (One time) We don't fuck with lies (Two times), we don't do goodbyes (Woo) We just keep it pushing like ay-ay-ay I'ma hit you back in a minute (Yeah, yeah) I don't play tag, bitch, I been it (One time) We don't fuck with lies (Two times), we don't do goodbyes (Woo) We just keep it pushing like ay-ay-ay (Woo) Why men great 'til they gotta be great? ('Til they gotta be great) Don't text me, tell it straight to my face (Tell it straight to my face) Best friend sat me down in the salon chair (Down in the salon chair) Shampoo press, get you out of my hair Fresh photos with the bomb lighting (With the bomb lighting) New man on the Minnesota Vikings (Minnesota Vikings) Truth hurts, needed something more exciting (Yee) Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah) With the bomb lighting Minnesota Vikings Yee, eh, yeah, yeah, yeah"
Roxanne,Arizona Zervas,2019-12-07,"All for the 'Gram Bitches love the 'Gram Oh, wait, shit Brr, brr (Ayy, yeah, yeah, yeah, ayy) Brr, brr, brr, ayy Skrrt skrrt 94 don't need no brakes, yeah Roxanne, Roxanne All she wanna do is party all night Goddamn, Roxanne Never gonna love me, but it's alright She think I'm an asshole, she think I'm a player She keep running back, though, only 'cause I pay up Roxanne, Roxanne All she wanna do is party all night Met her at a party in the hills, yeah She just wanna do it for the thrill, yeah Shorty drive a poodle with no top (Top, top) But if I throw this money, she gon' drop, ayy She don't wait in lines if it's too long She don't drive the whip unless the roof off Only wanna call when the cash out Only take the pic when her ass out She from Malibu, uh, Malibu If you ain't got a foreign, then she laugh at you, uh Malibu, uh, Malibu Spending daddy's money with a attitude Roxanne (Roxanne), Roxanne (Roxanne) All she wanna do is party all night Goddamn (Goddamn), Roxanne (Roxanne) Never gonna love me, but it's alright She think I'm an asshole, she think I'm a player She keep running back, though, only 'cause I pay up Roxanne (Roxanne), Roxanne (Roxanne) All she wanna do is party all night I just wanna have fun In LA, yeah, got no brakes, yeah Living fast, Ricky Bobby, shake and bake, yeah See the chain? Yeah, issa lake, yeah Swipe the Chase, ooh, now she wanna date, yeah Straight to Nobu on the coast, ooh Shorty only like cocaine and Whole Foods Yeah, snappin' all up on the 'Gram, ass going crazy (Woo) Now she wanna fuck me in the foreign, goin' 80 Up in Malibu, uh, Malibu If you ain't got a foreign, then she laugh at you, uh Malibu, uh, Malibu Spending daddy's money with a attitude Roxanne (Roxanne), Roxanne (Roxanne) All she wanna do is party all night (All night, yeah) Goddamn (Goddamn), Roxanne (Roxanne) Never gonna love me, but it's alright (Alright, yeah) She think I'm an asshole, she think I'm a player She keep running back, though, only 'cause I pay up Roxanne (Roxanne), Roxanne (Roxanne) All she wanna do is party all night"
Hot Boyz,Missy Elliott ,1999-11-27,NA
Whistle While You Twurk,Ying Yang Twins,2000-04-01,"Whistle while you twurk (whistle) Go head and start and make that pussy fart and Whistle while you twurk (twurk some) HOOK: Ying yang in this thang (ying yang) (x8) (Kaine:) Let me see ya make that pussy fart, good Lord Make it shake like a salt shaker, too hard Get it up 'till you can't ugh, no mo' See I love when you hoes take it to tha floor Baby bounce biggy bounce ugh, it's on you Shorty you can twurk in your skirt, if you want to See we came to keep it crunk for ya, all night Put a dub in da club show me, what I like (D-Roc:) Freak bitch make money in da club Them hoes like to take it off for a thug You can't come wit nuthin' less than a dub Or she lookin' at yo ass like a scrub Them hoes like it when a niggas shoen love And she'll show you what she really made of I guarantee yo ass wouldn't get enough Tell her pop that shit, drop that shit, ""What?"" Repeat chorus twice (D-Roc:) Where them hoes that's buying me a ticket I thank they all dance at club nikki Now where them hoes who be spittin' that game I thank they all dance at tha blue flame Where them hoes that be hard booty shakin' I thank they all dance at tha foxxy lady (Kaine:) I know she a shakin' booty hoe no teaser She ain't no sceaser when ya all fat pleaser Now where them bitches that be quick to show them titties I thank they all dance at tha magic city I know some hoe that be quick to take over You got tha green on your scene and strokers (D-Roc:) And whistle while you twurk, gotta make that money fo' sure Got some nice looking tities, body look pretty So dont be scared to twurk (Kaine:) Say them niggas in tha club wanna hate Wanna touch her pussy and never wanna pay I said shouty fuck that nigga do your thang I see your crunk tiger stripe G- strang It's bout that dollar bill then peppermint See them hoes represent for their rent (D-Roc:) If you in a booty club and you get your money spent And baby mama now she wonder where it went Repeat chorus twice (D-Roc:) Some of these bitches be real, they hard knock Once you get em crunk they start, they won't stop Hoes get naked for cheese, they love that Take tha baddest bitch in tha club, I fucked that Some these bitches been crunk since first day Some of these bitches in tha club, they don't play Half these bitches who shake it, they turn gay Niggas gone pay to see pussy, anyway (ahh, ahh) (Kaine:) Some of these niggas be walkin' tha thin line Fuckin' wit' these hoes wit' no clothes and no mind Baby girl out to get money she gone shine Everyday of work she gone be there on time Her pussy poppin' shouty be sweatin' like she noid Kinda like tha way that thang beat like a heart Turn around yeah that's it, good lord Tryin' to do a Chinese split and make it fart (D-Roc:) (""Ying yang in this thang"" in the background at The beginning of each line) Ying Yang in this thang, from the A-T-eeL Whistle while you twurk if you really real In tha club smelling like some wood In my neighbourhood Girls get crunk in the piz ball If you sit down, get up off tha wall Males only speak, if the females flirt If you get crunk, whistle while you twurk Repeat chorus four times"
Wobble Wobble,504 Boyz,2000-04-15,"Yo', this Jay-tweezie Keepin it live off the heezie fo' cheezy With them 504 Boyz you dig, check it This here is to played loud as possible Preferably in residential neighborhoods and night clubs Grab your shorty and let's go Now won't you wobble wobble Let me see you shake it, shake it Now won't you drop it, drop it Ohh, take it, take it Now won't you wobble wobble Let me see you shake it, shake it Now won't you drop it, drop it Ohh, take it, take it You already know what's happenin' when I step in this bitch And I know you've heard of me Cause I'm right there off of GT and Derbigny You've been 'bout serving it, every since you heard my song I got you bucked up, you want that camouflage love, huh You got me fucked up I just want to see you wobble, like your momma's won that lotto Like your daddy full of that bottle Like your brother when he caught them hollows Like them G.T. bitches, them Saint T. bitches, my No Limit bitches Them boss bitches who 'bout they riches, and it ain't no secret They want that soldier dick that you only get from that soldier clique That Whoa! bitch I told ya' dick, 'welling up We drop it like it's hotter, from the dance floor to the Ramada Giving up them peso's, I thinks nada, look Now won't you wobble wobble Let me see you shake it, shake it Now won't you drop it, drop it Ohh, take it, take it Now when you shake that ass, I get rocked up You got a boyfriend boo (Wodie, my man locked up) Everytime you wobble wobble it gets me horny So I can ride that ass from the night until in the morning I could respect your mind, if you could respect the game Is it cool to fuck, or is this about some change Now won't you wobble wobble Let me see you shake it, shake it Now won't you drop it, drop it Ohh, take it, take it I like it when I see 'em at the club, shaking that thang Girl you really got me thinking 'bout taking that thang, come here Now when they wobbly, wobbly, ass bouncing everywhere The way she drop it like that, I can't help but to stare Got a nigga saying ""Ohhh girl"" Come a little closer, I'm trying to make you out my boo girl Don't move girl, I'm on my way to the floor baby Coming for mine, want to see if you can really shake it Let's bump and grind, girl you did that The way you bounce it and shake it, you know I'm with that I'm trying to get that, cause you got me rock hard (Ohh my God) Got me humpin and humpin it (huh) humpin like a dog, WOOF Now won't you wobble wobble Let me see you shake it, shake it Now won't you drop it, drop it Ohh, take it, take it Back your ass, Whoo, the fuck up I thought I told you, put your meanest face on for me And them steel-toe boots, gonna stomp your ass Want it, hunt it, some old niggas ready to jump your ass I'll be there for you baby, just beep me Start paging soldier, when you want a freak male I like freaking at your man's house, when he leave I toot What would he say if he knew that I was sexing you Let me see you wobble then shake it, then baby pop it, don't break it You want love let's make it, I just can't wait 'til you naked You lick your lips it makes me hard Daydreamin' of screamin' and fiendin' You creamin' for sex, that you gonna get this evening Ya' heard me Now won't you wobble wobble Let me see you shake it, shake it Now won't you drop it, drop it Ohh, take it, take it We them 504 Boyz, huh, we them 504 Boyz"
Country Grammar (Hot Shit),Nelly,2000-05-27,NA
Flamboyant,Big L,2000-06-24,NA
Callin' Me,Lil Zane,2000-07-15,"I live the life of a celebrity A made nigga way bigger than them other cats you love to see Lil Zane Can I talk to you for a minute? (Yeah, yeah) It's like I been doin' a lot of interviews Just people be callin 'my name everywhere, ""Hey, Zane!"" (So crazy, life's so, crazy) Come on I live the life of a celebrity A made nigga way bigger than them other cats you love to see I'm getting paid like I'm supposed to My homies call me on my mobile wanna hang we still close too I switched positions with them po’ cats, I write raps Make millions like that, I like that And I never was a rich man A rubber band for a wrist band Got dough and had to switch plans Drama still don't stop The freeway, getting chased by some bad bitches Wanting autographed pictures (Ooh) They want my name tattooed on them Thinkin' for a minute, hit that ass, make a move on 'em Hey! Hennessy with the chardonnay, mix it I put the trees in the Garcay, twist it (Whoa, yeah) A true player smoking purple haze Two shots in the air for my true thugs out there This life I live of mine (Oh yeah) This life is crazy (So crazy) I waste no time at all (Crazy) They won't stop calling me (Calling me) This life I live of mine This life is crazy (So crazy) I waste no time at all They won't stop calling me Calling me, calling me, calling me (Hey Lil' Zane!), say my name Calling me, calling me, calling me (Hey Lil' Zane!), say my name Let me explain what the game is like I did a show in California, had to be in Las Vegas the same night Me and 112 on the same flight, getting tired It ain't easy being worldwide (Worldwide, worldwide, worldwide) I seen murder come with fame in this rap game Gotta stay strapped if you rap so I pack thangs All my niggas pack thangs, and plus we love to ball Don't want no problem with you, homie, I mean none at all And to my rich cats with them big faced bills in the air My po' cats sell more sex to you there Love green millionaires, been all around the world Turned the squares into true players Cheap watches turned to Cartiers, locals turned to gators Point 3's turn to 5 C's all these car keys Jump in the Benz, hit The Shark Bar You know they love to see a hot star (This life I live, oh) This life I live of mine (Yeah) This life is crazy (So crazy) I waste no time at all (So crazy) They won't stop calling me (Calling me) This life I live of mine (Calling me) This life is crazy (Oh) I waste no time at all They won't stop calling me Calling me, calling me, calling me (Hey Lil' Zane!), say my name Calling me, calling me, calling me (Hey Lil' Zane!), say my name And for my dogs I ain't seen in awhile I still got love for y'all ain't got a chance to return your call I'm in Chicago, I'm getting paid Man, bigger figgas everywhere that I go I'm still hearing about drama poppin' in the hood Heard that you niggas doing good and I like that Irv said niggas got the block locked He tell me K and Big Chris riding drop tops Flossin', I'm getting letters, hard to write back Put a fly picture in the mail, hope they like that Prayin' that the fame don't kill us all The magazines to the big screen It ain't easy as the shit seems Throwin' up my deuces as a pass by Showing love to the south side, all the players outside And we gon' spend G's tonight Hotel's on me, shit's free tonight C'mon! This life I live of mine (Yeah) This life is crazy (Oh, so crazy) I waste no time at all They won't stop calling me This life I live of mine This life is crazy I waste no time at all They won't stop calling me Calling me, calling me, calling me (Hey Lil' Zane!), say my name Calling me, calling me, calling me (Hey Lil' Zane!), say my name (Crazy) This life I live of mine (Crazy) This life is crazy (Oh) I waste no time at all They won't stop calling me This life I live of mine This life is crazy I waste no time at all They won't stop calling me Calling me, calling me, calling me (Hey Lil' Zane!), say my name Calling me, calling me, calling me (Hey Lil' Zane!), say my name This life I live of mine This life is crazy I waste no time at all They won't stop calling me 1, 2, 1, 2 It's going down, baby Mistafiss and Diggie Doms on the track saying It's a worldwide thang Lil Z, 2000 Young World: The Future It's not a game"
Bounce with Me,Lil' Bow Wow,2000-08-19,"Uh-huh, yo (Oh, oh) Uh-huh, yo (Uh-huh, oh, oh) Uh-huh, yo (Bounce, bounce) See around here (Uh-huh, uh, huh-uh) I make things that make y'all bounce Ya know? Heh, ya know what I mean? (Yeah, yeah) Left to right, right to left (Uh-huh, uh-huh) It's So So Def (Yeah uh) And uh it's going down Ya know what I mean? (Yeah) My man Bow Wow (Bow Wow, yeah hear me now) Yeah ya heard? (Check it out) Let's go! Let's go! Let's go! (Peep game, let's go) Around here we pop them collars Around here we get them dollars Every girl I see that look right A nigga like me just gotta holla This kid here all about stackin' up Got big head but we can back it up Long cause everybody get crunk When we drop in the club starts acting up I represent the S-O-S-O, D-E-F-M-O-B That's me, JD, Brat, and JE So please believe What I do ain't never been done Ohio is where I'm from I heard what you said And I saw what you do And y'all playas really don't want none From the day to the night, I ROCK Say what you like, NEVER NOT Stayin' alive, living the life Gots to keep it hot Shotgun in the drop, riding good Twenties, TVs, leather and wood Poppin', watching Big Momma Holdin' it down like a playa should Sing-a-long now! All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me It's the B to the O-W Wow even your girl fall in love When I smile The tight little guy you ain't seen in a while Ignore the hype, just right for you size I get in where I fit in Braided up, made the bucks And I'm still a kid Imagine what life like when I get big I'mma be rich surrounded by chicks Couple of cars, couple of cribs Gettin' a couple of mills Shining every time I feel You see how So So get ill You don't want no stuff up in here Bow to the wow get it in your ear now I get down cause I'm hit bound And I rock an iced out Mickey Mouse around my neck And I hang on niggas like Vince Carter With his arm in the net And I outta snatch up your daughters But I was brought up with respect When I turn 16 I'mma call her though And show her how to ride with a baller yo Let her know why it wouldn't hurt her To fall in love with a {nigga} like me a long time ago Sing-a-long now! All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me I, I, I wanna see you bounce with me now Take, take, take it down to the ground with me now Shake, shake, shake it all around the town with me now What'cha gon do shorty, what'cha gon do"
Callin' Me,Lil Zane,2000-09-02,"I live the life of a celebrity A made nigga way bigger than them other cats you love to see Lil Zane Can I talk to you for a minute? (Yeah, yeah) It's like I been doin' a lot of interviews Just people be callin 'my name everywhere, ""Hey, Zane!"" (So crazy, life's so, crazy) Come on I live the life of a celebrity A made nigga way bigger than them other cats you love to see I'm getting paid like I'm supposed to My homies call me on my mobile wanna hang we still close too I switched positions with them po’ cats, I write raps Make millions like that, I like that And I never was a rich man A rubber band for a wrist band Got dough and had to switch plans Drama still don't stop The freeway, getting chased by some bad bitches Wanting autographed pictures (Ooh) They want my name tattooed on them Thinkin' for a minute, hit that ass, make a move on 'em Hey! Hennessy with the chardonnay, mix it I put the trees in the Garcay, twist it (Whoa, yeah) A true player smoking purple haze Two shots in the air for my true thugs out there This life I live of mine (Oh yeah) This life is crazy (So crazy) I waste no time at all (Crazy) They won't stop calling me (Calling me) This life I live of mine This life is crazy (So crazy) I waste no time at all They won't stop calling me Calling me, calling me, calling me (Hey Lil' Zane!), say my name Calling me, calling me, calling me (Hey Lil' Zane!), say my name Let me explain what the game is like I did a show in California, had to be in Las Vegas the same night Me and 112 on the same flight, getting tired It ain't easy being worldwide (Worldwide, worldwide, worldwide) I seen murder come with fame in this rap game Gotta stay strapped if you rap so I pack thangs All my niggas pack thangs, and plus we love to ball Don't want no problem with you, homie, I mean none at all And to my rich cats with them big faced bills in the air My po' cats sell more sex to you there Love green millionaires, been all around the world Turned the squares into true players Cheap watches turned to Cartiers, locals turned to gators Point 3's turn to 5 C's all these car keys Jump in the Benz, hit The Shark Bar You know they love to see a hot star (This life I live, oh) This life I live of mine (Yeah) This life is crazy (So crazy) I waste no time at all (So crazy) They won't stop calling me (Calling me) This life I live of mine (Calling me) This life is crazy (Oh) I waste no time at all They won't stop calling me Calling me, calling me, calling me (Hey Lil' Zane!), say my name Calling me, calling me, calling me (Hey Lil' Zane!), say my name And for my dogs I ain't seen in awhile I still got love for y'all ain't got a chance to return your call I'm in Chicago, I'm getting paid Man, bigger figgas everywhere that I go I'm still hearing about drama poppin' in the hood Heard that you niggas doing good and I like that Irv said niggas got the block locked He tell me K and Big Chris riding drop tops Flossin', I'm getting letters, hard to write back Put a fly picture in the mail, hope they like that Prayin' that the fame don't kill us all The magazines to the big screen It ain't easy as the shit seems Throwin' up my deuces as a pass by Showing love to the south side, all the players outside And we gon' spend G's tonight Hotel's on me, shit's free tonight C'mon! This life I live of mine (Yeah) This life is crazy (Oh, so crazy) I waste no time at all They won't stop calling me This life I live of mine This life is crazy I waste no time at all They won't stop calling me Calling me, calling me, calling me (Hey Lil' Zane!), say my name Calling me, calling me, calling me (Hey Lil' Zane!), say my name (Crazy) This life I live of mine (Crazy) This life is crazy (Oh) I waste no time at all They won't stop calling me This life I live of mine This life is crazy I waste no time at all They won't stop calling me Calling me, calling me, calling me (Hey Lil' Zane!), say my name Calling me, calling me, calling me (Hey Lil' Zane!), say my name This life I live of mine This life is crazy I waste no time at all They won't stop calling me 1, 2, 1, 2 It's going down, baby Mistafiss and Diggie Doms on the track saying It's a worldwide thang Lil Z, 2000 Young World: The Future It's not a game"
Bounce with Me,Lil' Bow Wow,2000-09-09,"Uh-huh, yo (Oh, oh) Uh-huh, yo (Uh-huh, oh, oh) Uh-huh, yo (Bounce, bounce) See around here (Uh-huh, uh, huh-uh) I make things that make y'all bounce Ya know? Heh, ya know what I mean? (Yeah, yeah) Left to right, right to left (Uh-huh, uh-huh) It's So So Def (Yeah uh) And uh it's going down Ya know what I mean? (Yeah) My man Bow Wow (Bow Wow, yeah hear me now) Yeah ya heard? (Check it out) Let's go! Let's go! Let's go! (Peep game, let's go) Around here we pop them collars Around here we get them dollars Every girl I see that look right A nigga like me just gotta holla This kid here all about stackin' up Got big head but we can back it up Long cause everybody get crunk When we drop in the club starts acting up I represent the S-O-S-O, D-E-F-M-O-B That's me, JD, Brat, and JE So please believe What I do ain't never been done Ohio is where I'm from I heard what you said And I saw what you do And y'all playas really don't want none From the day to the night, I ROCK Say what you like, NEVER NOT Stayin' alive, living the life Gots to keep it hot Shotgun in the drop, riding good Twenties, TVs, leather and wood Poppin', watching Big Momma Holdin' it down like a playa should Sing-a-long now! All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me It's the B to the O-W Wow even your girl fall in love When I smile The tight little guy you ain't seen in a while Ignore the hype, just right for you size I get in where I fit in Braided up, made the bucks And I'm still a kid Imagine what life like when I get big I'mma be rich surrounded by chicks Couple of cars, couple of cribs Gettin' a couple of mills Shining every time I feel You see how So So get ill You don't want no stuff up in here Bow to the wow get it in your ear now I get down cause I'm hit bound And I rock an iced out Mickey Mouse around my neck And I hang on niggas like Vince Carter With his arm in the net And I outta snatch up your daughters But I was brought up with respect When I turn 16 I'mma call her though And show her how to ride with a baller yo Let her know why it wouldn't hurt her To fall in love with a {nigga} like me a long time ago Sing-a-long now! All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me All I wanna do is see ya Bounce with me, bounce with me Grab a partner hit the floor Bounce with me, bounce with me Some clap, clap others stomp But around here we get it crunk when ya Bounce with me, bounce with me I, I, I wanna see you bounce with me now Take, take, take it down to the ground with me now Shake, shake, shake it all around the town with me now What'cha gon do shorty, what'cha gon do"
Move Somethin',Talib Kweli,2000-10-28,"C'mon, c'mon ya ya ya ya ya Get 'em up, get 'em up, what Get 'em up, get 'em up, what Get 'em up, get 'em up, what Yo, yo, yo What's with the melodrama? Fella's wanna hover in my cypher like a helicopter Like it's a special honor The stealth bomba, gem droppa Make the ghetto holla, Inter-Conta-Nental Takin you high like skydivers When we spark like live wires Original, cavemen quest for my fire Express my desire to drop this new shit These record executives keep tellin' me y'all stupid Now if they right, shut the fuck up Revolutionaries throw your guns up Whether you a bourgeois broad who acting stuck up Or some ignorant thug motherfucker shooting the club up We gonna make y'all feel this, break y'all spirit If y'all fake that realness, word we bringing it Ringing it in from the new millenuim to way after that I call these cats Reynolds 'cuz they plastic wrap Kill all the yapping, let's make it happen You cats ain't real, you just a re-enactment Better yet, dramatization Soon as the director say action you start fakin' I start breakin', the whole joint start shakin' This ain't the time or place for you to prove something Cut the stargazin' yo, move somethin'! Move somethin' (move somethin') Move somethin' (move somethin') Move somethin' (move somethin') Move somethin' (move somethin') (Word.. alright bring it back to the top) To be continued... Let's see what's next up on the menu run up in you Lyrics that be fuckin' with you In the mental, pick any mental - instru, funda, detri Extra-extra large like the borough of Brooklyn the residential Exi-stential-ist specialist Like Sly Stone wit' my poem and fly song Ride along with cats who live great and die strong, word We gonna rock till nothin' else matters Y'all catch bodies, we catch excellent cadavers Your next of kin an' shatter stories splattered in the tabloids Erase your trace like your cotton mouth and we peppermint Altoids Step in the high reppin' the spot called Flatbush Whether rappers or actors you still feel the gat bust The abstract then becomes the reality Alcoholics like to call it the moment of clarity Kill all the yappin lets make it happen You cats ain't real, you just a re-enactment Better yet, dramatization Soon as the director say action you start fakin I start breakin The whole joint start shakin This ain't the time or place for you to prove something Cut the stargazin' yo, move somethin'! Move somethin' (move somethin') Move somethin' (move somethin') Move somethin' (move somethin') Move somethin' (move somethin')"
It's OK,Slimm Calhoun,2000-11-04,"All these lonely girls wanna fuck It's OK That's alright, girl, that's ok That's alright, girl, that's ok Keep calling me and paging me and blowing me up It's OK That's alright, girl, that's ok That's alright, girl, that's ok My game slicker than slow tongue, get your main ho sprung Chokin' on my blowgun, she swallowed all my bubble gum Said it was so yum yum, all off in her tum tum Playboy you stay dumb dumb—now, what? Uh-huh Last night, I was in them guts, uh-huh A young playa cut your what? Uh-huh She was just tryna get a nut, uh-huh And we gon' meet back at the hut, uh-huh Come on All these lonely girls wanna fuck It's OK That's alright, girl, that's ok That's alright, girl, that's ok Keep calling me and paging me and blowing me up It's OK That's alright, girl, that's ok That's alright, girl, that's ok It's OK A-town, late nights, I'm off in 112 Posted up, as usual, downstairs with a couple of Clydesdales Sippin zinfandel, got a sack of good, take a whiff, inhale Blaze up, hate to ball and bail Got some late cut, she sure know how to shake her tail The way I hit it, make her wanna break up and leave her man Make up and cheat again, caked up, lay low, Comfort Inn Tucked her in—Next week, she said she'll bring a friend Come on All these lonely girls wanna fuck It's OK That's alright, girl, that's ok That's alright, girl, that's ok Keep calling me and paging me and blowing me up It's OK That's alright, girl, that's ok That's alright, girl, that's ok Said I love my man, man-man-man, we got our ups and downs And I'll get lonely and, and-and-and Wanna move move to someone who might understand, stand stand stand How to make a girl feel like Alice in Wonderland Wonderland, wandered in Wonderin'...if she can home with guilt on her mind Really all she truly wants to know is that she still fine After day you met her, better tell her, 'fore another feller Pet her kitten, sittin' sittin', chittin' chittin', spittin' spittin', hittin' hittin', woo, woo, woo, woo All these lonely girls wanna fuck It's OK That's alright, girl, that's ok That's alright, girl, that's ok Keep calling me and paging me and blowing me up It's OK That's alright, girl, that's ok That's alright, girl, that's ok"
