song	artist	hip_hop_rnb	lyrics
It Sure Is Monday	Mark Chesnutt	0	With the alarm clock ting-a-ling ringin' in my head I woke up dog tired, beat down, half dead Tryin' to recover from another wild weekend Chuggin' down coffee while I should have been sleepin' Well it sure is Monday isn't it now I gotta myself through the week somehow I had a ball Friday, Saturday and Sunday But it's all over now and it sure is Monday Oh, I got to the job site at a quarter past nine And somehow I stayed awake till lunch time And then I caught a little nap, stretched out in my truck bed My feet still twitchin' to the music in my head Well it sure is Monday, ain't it the truth I partied too hardy, now I'm payin' my dues I had a ball Friday, Saturday and Sunday But it's all over now and it sure is Monday Well it sure is Monday, ain't it a sin I gotta work my way through the week again I had a ball Friday, Saturday and Sunday But it's all over now and it sure is Monday Yeah, it's all over now and it sure is Monday
It Wasn't Me	Shaggy	1	Yo, man Yo Open up, man Yo, what you want, man? My girl just caught me You made her catch you? I don't know how I let this happen With who? The girl next door, ya know? Man I don't know what to do Say it wasn't you Alright Honey came in and she caught me red-handed Creepin' with the girl next door Picture this, we were both butt naked Bangin' on the bathroom floor How could I forget that I had Given her an extra key? All this time she was standin' there She never took her eyes off me How ya fi give the woman access to your villa? Trespasser and a witness, all the hacklin' a yuh pillow You better watch your back before she turn into a killa Best review the situation that you caught up inna To be a true player, you haffi know how fi play If she say, ""A night,"" convince her, say, ""A day"" Never admit to a word weh she say And if she claim a yuh, tell her, ""Baby, no way!"" But she caught me on the counter (Wasn't me) Saw me bangin' on the sofa (Wasn't me) I even had her in the shower (Wasn't me) She even caught me on camera (Wasn't me) She saw the marks on my shoulder (Wasn't me) Heard the words that I told her (Wasn't me) Heard the screams gettin' louder (Wasn't me) She stayed until it was over Honey came in and she caught me red-handed Creepin' with the girl next door Picture this, we were both butt naked Bangin' on the bathroom floor I had tried to keep her from what She was about to see Why should she believe me When I told her it wasn't me? Mek she know say that she really no have right fi vex A never you she see yah make the gigolo flex A smaddy else weh favor you inna di complex Seein' is believin', so you better change your specs You know she a go bring a whole heap a things up from the past All the likkle evidence, you betta know fi mask Quick 'pon yuh answer, know how fi talk But if she pack a gun, you know you betta run fast But she caught me on the counter (Wasn't me) Saw me bangin' on the sofa (Wasn't me) I even had her in the shower (It wasn't me) She even caught me on camera (Wa-wasn't me) She saw the marks on my shoulder (Wasn't me) Heard the words that I told her (Wasn't me) Heard the screams gettin' louder (Wasn't me) She stayed until it was over Honey came in and she caught me red-handed Creepin' with the girl next door Picture this, we were both butt naked Bangin' on the bathroom floor How could I forget that I had Given her an extra key? All this time she was standin' there She never took her eyes off me Gonna tell her that I'm sorry for the pain that I've caused I've been listenin' to your reasonin', it makes no sense at all Need to tell her that I'm sorry for the pain that I've caused You may think that you're a player, but you're completely lost That's why I sing Honey came in and she caught me red-handed Creepin' with the girl next door Picture this, we were both butt naked Bangin' on the bathroom floor How could I forget that I had Given her an extra key? All this time she was standin' there She never took her eyes off me
It Won't Be Like This for Long	Darius Rucker	0	He didn't have to wake up He'd been up all night Lying there in bed listening To his new born baby cry He makes a pot of coffee He splashes water on his face His wife gives him a kiss and says It is going to be OK It won't be like this for long One day we'll look back laughing At the week we brought her home This phase is going to fly by So baby just hold on It won't be like this for long Four years later bout four thirty She's crawling in their bed And when he drops her off at preschool She's clinging to his leg The teacher peels her off of him He says what can I do She says now do not you worry This will only last a week or two It won't be like this for long One day soon you'll drop her off And she won't even know you're gone This phase is going to fly by If you could just hold on It won't be like this for long Someday soon she'll be a teenager And at times he'll think she hates him Then he'll walk her down the aisle And he'll raise her veil But right now she up and crying And the truth is that he don't mind As he kisses her good night And she says her prayers He lays down there beside her Till her eyes are finally closed And just watching her it breaks his heart Cause he already knows It won't be like this for long One day soon that little girl is going to be All grown up and gone Yeah this phase is going to fly by He is trying to hold on It won't be like this for long It won't be like this for long
Jaded	Aerosmith	0	Hey, j-j-jaded You got your mama's style But you're yesterday's child to me So jaded You think that's where it's at But is that where it's supposed to be? You're getting it all over me, ex-rated My, my baby blue Yeah, I been thinking about you My, my baby blue Yeah, you're so jaded And I'm the one that jaded you Hey, j-j-jaded In all its misery It will always be what I love and hated And maybe take a ride to the other side We're thinking of We'll slip into the velvet glove And be jaded My, my baby blue Yeah, I'm thinking about you My, my baby blue Yeah, I'm so jaded And baby, I'm afraid of you Your thinking's so complicated I've had it all up to here But it's so overrated Love and hated Wouldn't trade it Love me jaded Hey, j-j-jaded There ain't no baby, please When I'm shooting the breeze with her When everything you see is a blur And ecstasy's what you prefer My, my baby blue I'ma talking 'bout you My, my baby blue Yeah, I've been thinking 'bout you My, my baby blue Yeah, you're so jaded (Baby) Jaded (Baby) You're so jaded 'Cause I'm the one that jaded you
Jerk Out	The Time	1	Band Uh, I don't know it's... It's just a thing with me you know If I see somethin' that I like, it's a... I have to go for it And I like what I see, baby Ah, come here I got real bored on a friday night I couldn't find a damn thing to do So I pulled out a suit about the same color As my BMW I drove to the party and I stepped on in Just to see what I could see Everybody knew what I was lookin' for I was lookin' for some company, that's right Jerk out Jerkin' everything in sight And you know that I'm talkin' about the Jerk out (I got the cash, I got the ride, Oh Lawd) Got to make some love tonight And you know I got the look I saw a real fine thing sittin' by the bar She looked kinda all alone So I slid on over and I asked her name The Stella was bad to the bone I showed her my stash and I kissed her cheek The only kind of rap it takes She knew I was bad when I jerked her to my ride She said, ""How much money you make?"" Let's just say it'll be more money... Jerk out (...Than you'll ever see in your lifetime, ha ha) Jerkin' everything in sight I'm talkin' about the Jerk out Got to make some love tonight Jerk it, jerk it I'm talkin' about the Jerk it, jerk it Jerk out Jerk it, jerk it I'm talkin' about the Jerk it, jerk it Jerk out I took her to my crib and I laid her down Her body felt kinda right Maybe I was wrong but what the hell I figured that was what she liked I said ""Baby, don't get too comfortable 'Cause I really like to sleep alone Leave your number on the table by my data bank I love you, but you got to go"" (What?) Jerk out (You ain't got to go home, but you got to get the hell outta here) Jerkin' everything in sight I'm talkin' about the Jerk out Got to make some love tonight, all night Jerk out (What's your number girl?) Jerkin' everything in sight The master of the Jerk out Gotta make some love tonight All night Oh, I got to make some love Jerk it, jerk it I'm talkin' about the Jerk it, jerk it Jerk out Jerk it, jerk it I'm talkin' about the Jerk it, jerk it Jerk out, Terry Nasty Cut 'em, Jessie Jerk out (whoa, that's right) Jerkin' everything in sight (You look so satisfied) I'm talkin' about the Jerk out (Ha ha ha ha! That's it) Got to make some love tonight Jerk Out (Please, who ever told you, you could sing?) Yeah, baby Jerome, stop at the instant teller so I can get me some cash Got to make some love to night Yes Fellas, y'all play somethin'? That's it You know I think I feel the need for a change Cross over There's so many things we can do You like, ah, Raviolios, Cheerios, Spaghettios You can just never have enough O's, uh! Jerk out (Hey, oh) Jerkin' everything in sight (Everybody) Jerk out (No, oh) Gotta make some love to night (Whoa) Jerk out (Don't you all just hate it when we walk in y'all's joint?) Jerkin' everything in sight (And just jerk out everything in sight? Don't it make you mad?) Jerk out (Don't it make you mad?) Gotta make some love tonight? (It'd make me mad) Fellas? (Yeah?) What's the move? (We're jerkin' everything in sight) Fellas? (Yeah?) What's the groove? (Make a little love tonight) That's right, fellas? (Yeah?) What's the move? (We're jerkin' everything in sight) Fellas? (Yeah?) What's the groove? (Make a little love tonight) Look out, fellas? (Yeah?) What's the move? (We're jerkin' everything in sight) Fellas? (Yeah?) What's the groove? (Make a little love tonight) Fellas? (Yeah?) What's the move? (We're jerkin' everything in sight) Fellas? (Yeah?) What's the groove? (Make a little love tonight) Somebody bring me a mirror What suit should I wear tonight? If you think I'm cool, you're right Somebody say Kool-Aid! - Kool-Aid! Jerk it.... uh! Make a little love tonight. - What? Jerkin' everything in sight. - Oh, that's right Make a little love tonight. - Oh Lawd Jerkin' everything in sight. That's frightenin' Make a little love tonight. - We can do this Jerkin' everything in sight. - Oh Lawd Make a little love tonight. - Fellas Jerkin' everything in sight. - Yes Make a little love... - Oh Make a little love... - Yeah Make a little love tonight. - Ha ha! Jerk out I'm the master of the jerk out .... Ha, them's your drawers, Morris Now tell me somethin' that I don't already know J.B Jerk out. - It's just one of them things you know, huh Got to make some love tonight. - Money, clothes, cars, credit cards, houses Jerk out. - You know what I'm talkin about, ha ha! Jerkin' everything in sight .... What's he talkin' about? You should see my home. It's... so nice .... Girl, he is kinda sexy .... Girl, please! Oh, well, if you're not doin' anything. We could go there right now .... Can my friend come? Oh, I'd love that .... Girl! Uh, that sure is a lovely blouse you have on .... Thank you Can I take it off? .... No Oh, I just wanna..., oh, I just wanna touch it .... Stop So nice, so nice .... No. Stop Oh, that was so nice
Jesus, Take the Wheel	Carrie Underwood	0	She was drivin' last Friday on the way to Cincinnati On a snow-white Christmas Eve Goin' home to see her mama and her daddy With the baby in the backseat Fifty miles to go and she was runnin' low On faith and gasoline It'd been a long hard year She had a lot on her mind and she didn't pay attention She was goin' way too fast Before she knew it She was spinnin' on a thin black sheet of glass She saw both their lives flash before her eyes She didn't even have time to cry She was so scared She threw her hands up in the air Jesus, take the wheel Take it from my hands 'Cause I can't do this on my own I'm letting go So give me one more chance Save me from this road I'm on Jesus, take the wheel It was still gettin' colder when she made it to the shoulder And the car came to a stop She cried when she saw that baby in the backseat Sleepin' like a rock And for the first time in a long time She bowed her head to pray She said, ""I'm sorry for the way I've been livin' my life I know I've got to change So from now on tonight"" ""Jesus, take the wheel Take it from my hands 'Cause I can't do this on my own I'm letting go So give me one more chance Save me from this road I'm on Oh, Jesus, take the wheel Oh, I'm letting go So give me one more chance Save me from this road I'm on From this road I'm on Jesus, take the wheel Oh, take it, take it from me"" Oh, woah, ooh
Joy	Teddy Pendergrass	1	Ah man, I ain't seen you in a long time Brother, come on in, man Sit on down and relax yourself, take your shoes off I wanna let - I got a song I want you to hear Boy, this thing is mad I want you to check out this groove, okay Hold on one second, let me put the needle down right here Check it out Joy Joy [Chorus] X2 It's a joy Joy to be To be near you I want you here with me Lady, can't you see just how much you mean to me Get a thrill each time I'm near you I get such a rush, I crave to feel your tender touch Magic moment paradise, oh baby Life is too damn short to let you get away I'm here to say I need your love, oh baby There's no greater pleasure than you give to me Hear me, baby, I want you to know It's a joy Joy to be To be near you I want you here with me It's a joy (It's a joy) Joy to be To be near you I want you here with me Darling, don't you know, my heart longs to hold you so Passion burns inside my mind You're my fantasy, no other love can set me free I'm glad to know that you're all mine, mine Sailing through the night, I'll find the certain pleasures A million stars feel like the moon, so full of love Nothin' takes the place of romance since you came But all we need is you and me, baby (You and me) It's a joy Joy to be To be near you I want you here with me It's a joy Joy to be I wanna be near you I want you here with me It's a joy Joy to be To be near you I, I want you here with me It's a joy, oh baby Joy to be To be near you I want you here with me We're meant to be and I know we can win At times I feel like a kid on a Ferris wheel You make my world go 'round and around So much to live for and I'm livin' it now (Joy) Yeah (Joy) Oh yeah (Joy) James, would say, uh, ee-oh Mmm, mmm, mmm, mmm, mmm, tell me what you like Ah baby Tell me what you like Tell me what you like I wanna be near you So I can feel you Tell me what you like Oh, come let me hold you Come let me squeeze you (Joy) Joy (Joy) Joy to be Come let me kiss you Oh, 'cause I miss you (It's a Joy) Joy (Joy to be) Oh, let me squeeze you Oh, let me tease you (It's a) Joy Joy to be, yeah (To be near you) Have you, baby (I want you here with me) Such a joy (It's a Joy) Oh, joy (Joy to be) Oh, joy (To be near you) Have you, baby (I want you here with me) Oh, joy (It's a Joy) Oh, joy (Joy to be) Oh, yeah (To be near you) Warm my heart, my soul (I want you here with me) My everything, I love you, baby It's a joy, oh, babe Joy to be Have you near me To be near you Want you here with me (It's a Joy) Oh, joy (Joy to be) Oh, joy To be near you Want you here with me Oh, joy
Joyride (Omen)	Chevelle	0	Oh, I've heard about the joyrides and I want in It's fair to say it's in the past, if you're kidding And you're kidding, and you're kidding Like a godawful omen Just hit, stabs like some voodoo hex And like a seventh sign, one double cross This is it This is it Late night, this heart needs pumping Joyride and famous lies Angel eyes, gotta feed, taking aim, none of these Pull right out, didn't lie, didn't like, none of these New revenge, odd events, catching hell, evidence Chase you down Late night, this heart needs something Joyride and famous lies We almost always open up We're almost always laughing over Almost never open up Chase them ghosts Pigheaded Your joyride Late night, this heart needs pumping Joyride and famous lies Joyride and famous lies
Jukebox in My Mind	Alabama	0	In the corner of my mind stands a jukebox It's playin' all my favorite mem-o-ries One by one, they take me back To the days when you were mine And I can't stop this jukebox in my mind I don't need no quarters, don't need any dime You filled it up forever When you said good-bye Heaven knows I love old melodies They were meant to ease the pain But the kind that's playin' on my mind Are drivin' me insane In the corner of my mind stands a jukebox It's playin' all my favorite mem-o-ries One by one, they take me back To the days when you were mine And I can't stop this jukebox in my mind Song by song, those melodies Were meant to ease the pain But the kind that's playin' on my mind Are drivin' me insane; In the corner of my mind stands a jukebox It's playin' all my favorite mem-o-ries One by one, they take me back To the days when you were mine And I can't stop this jukebox in my mind
Just a Dream	Carrie Underwood	0	It was two weeks after the day she turned eighteen All dressed in white, goin' to the church that night She had his box of letters in the passenger seat Sixpence in a shoe, somethin' borrowed, somethin' blue And when the church doors opened up wide She put her veil down, tryin' to hide the tears Oh, she just couldn't believe it She heard the trumpets from the military band And the flowers fell out of her hands Baby, why'd you leave me? Why'd you have to go? I was countin' on forever, now I'll never know I can't even breathe It's like I'm lookin' from a distance, standin' in the background Everybody's sayin' he's not comin' home now This can't be happenin' to me This is just a dream The preacher man said, ""Let us bow our heads and pray Lord, please lift his soul and heal this hurt"" Then the congregation all stood up and sang The saddest song that she ever heard And then they handed her a folded-up flag And she held on to all she had left of him Oh, and what could have been And then the guns rang one last shot And it felt like a bullet in her heart Baby, why'd you leave me? Why'd you have to go? I was countin' on forever, now I'll never know I can't even breathe It's like I'm lookin' from a distance, standin' in the background Everybody's sayin' he's not comin' home now This can't be happenin' to me This is just a dream Ooh, baby, why'd you leave me? Why'd you have to go? I was countin' on forever Now I'll never know Oh, I'll never know It's like I'm lookin' from a distance, standin' in the background Everybody's sayin' he's not comin' home now This can't be happenin' to me This is just a dream Oh, this is just a dream Just a dream Yeah, yeah
Just a Kiss	Lady Antebellum	0	Lyin' here with you so close to me It's hard to fight these feelings when it feels so hard to breathe I'm caught up in this moment I'm caught up in your smile I've never opened up to anyone So hard to hold back when I'm holding you in my arms But we don't need to rush this Let's just take it slow Just a kiss on your lips in the moonlight Just a touch of the fire burning so bright No, I don't wanna mess this thing up No, I don't wanna push too far Just a shot in the dark that you just might Be the one I've been waiting for my whole life So baby, I'm alright with just a kiss goodnight I know that if we give this a little time It'll only bring us closer to the love we wanna find It's never felt so real No, it's never felt so right Just a kiss on your lips in the moonlight Just a touch of the fire burning so bright No, I don't wanna mess this thing up I don't wanna push too far Just a shot in the dark that you just might Be the one I've been waiting for my whole life So baby, I'm alright with just a kiss goodnight No, I don't wanna say goodnight I know it's time to leave But you'll be in my dreams Tonight Tonight Tonight Just a kiss on your lips in the moonlight Just a touch of the fire burning so bright No, I don't wanna mess this thing up I don't wanna push too far Just a shot in the dark that you just might Be the one I've been waiting for my whole life So baby, I'm alright, oh Let's do this right with just a kiss goodnight With a kiss goodnight Kiss goodnight
Just a Lil Bit	50 Cent	1	Yeah, Shady, Aftermath, G-Unit Damn, baby, all I need is a lil' bit A lil' bit of this, a lil' bit of that Get it crackin' in the club when you hear the shit Drop it like it's hot, get to workin' that back Girl, shake that thang, yeah work that thang Let me see it go up and down Rotate that thang, I wanna touch that thang When you make it go 'round and 'round I step up in the club, I'm like ""Who you with?"" G-Unit in the house, yeah, that's my clique Yeah, I'm young, but a nigga from the old school On the dancefloor a nigga doin' old moves I don't give a fuck, I do what I wan' do I hit your ass up, boy, I done warned you Better listen when I talk, nigga, don't trip Yo' heat in the car, mine's in this bitch I ain't tryna beef, I'm tryna get my drink on And my diamonds, my fitted, and my mink on I'ma kick it at the bar 'til it's time to go Then I'ma get in shawty ear and I'ma let her know All a nigga really need is a lil' bit Not a lot, baby girl, just a lil' bit We can head to the crib in a lil' bit I can show you how I live in a lil' bit I wanna unbutton your pants just a lil' bit Take 'em off and pull 'em down just a lil' bit Get to kissin' and touchin' a lil' bit Get to lickin' it, in a lil' bit This is 50 comin' out your stereos Hard to tell though 'cause I switched the flow Eyes a lil' low 'cause I twist the 'dro Pockets on swoll 'cause I move the O's My neck, my wrist, my ears is froze Come get your bitch, she on me, dawg She musta heard about the dough Now Captain, come on and Save-a-Ho I get it crunk in the club, I'm off the chain Number one on the chart all the time mane When the kid in the house, I turn it out Keep the dancefloor packed, that's without a doubt But shawty shake that thang like a pro, man She backed it up on me I'm like ""Oh, man"" I got close enough to her, so I know she could hear System thumpin', party jumpin', I said loud and clear All a nigga really need is a lil' bit Not a lot, baby girl, just a lil' bit We can head to the crib in a lil' bit I can show you how I live in a lil' bit I wanna unbutton your pants just a lil' bit Take 'em off and pull 'em down just a lil' bit Get to kissin' and touchin' a lil' bit Get to lickin' it, in a lil' bit Baby, you got me feelin' right, you heard me? My momma gone, you can spend the night, you heard me? I ain't playin', I'm tryna fuck tonight, you heard me? Clothes off, face down, ass up, come on, ha-ha All a nigga really need is a lil' bit Not a lot, baby girl, just a lil' bit We can head to the crib in a lil' bit I can show you how I live in a lil' bit I wanna unbutton your pants just a lil' bit Take 'em off and pull 'em down just a lil' bit Get to kissin' and touchin' a lil' bit Get to lickin' it, in a lil' bit All a nigga really need is a lil' bit Not a lot, baby girl, just a lil' bit We can head to the crib in a lil' bit I can show you how I live in a lil' bit I wanna unbutton your pants just a lil' bit Take 'em off and pull 'em down just a lil' bit Get to kissin' and touchin' a lil' bit Get to lickin' it, in a lil' bit
Just Another Day in Paradise	Phil Vassar	0	The kids screaming, phone ringing Dog barking at the mailman bringing That stack of bills - overdue Good morning baby, how are you? Got a half hour, quick shower Take a drink of milk but the milk's gone sour My funny face makes you laugh Twist the top on and I put it back There goes the washing machine Baby, don't kick it I promise I'll fix it Long about a million other things Well, it's ok. It's so nice It's just another day in paradise Well, there's no place that I'd rather be Well, it's two hearts And one dream I wouldn't trade it for anything And I ask the Lord every night For just another day in paradise Friday, you're late Guess we'll never make our dinner date At the restaurant you start to cry Baby, we'll just improvise Well, plan B looks like Dominoes' pizza in the candle light Then we'll tippy toe to our room Make a little love that's overdue But somebody had a bad dream Mama and daddy Can me and my teddy Come in to sleep in between? Yeah it's ok. It's so nice It's just another day in paradise Well, there's no place that I'd rather be Well, it's two hearts And one dream I wouldn't trade it for anything And I ask the Lord every night For just another day in paradise Well, it's ok. It's so nice It's just another day in paradise Well, there's no place that I'd rather be Two hearts And one dream I wouldn't trade it for anything And I ask the Lord every night For just another day in paradise For just another day in paradise Well, it's the kids screaming. The phone ringing Just another day Well, it's Friday. You're late Oh yeah, it's just another day in paradise
Just Because	Anita Baker	1	When I think about how much I'm loving you No limitations, no set of regimented rules I'm amazed how much this love has touched my life And the commitment that we share is a welcome sacrifice This must be sweet fatal attraction My life-long date with destiny Love this strong, it just brings out the passion I never knew was here in me And I love you just because, (I love you) just because Just because I do - my darlin', you Emotions more than words can help me say I love you, (and I love you, and I love you) baby Just because you're you (Just because you're you) Just because you're you You're a diamond in my mind, a treasure found A precious gem to me, you're so nice to have around I'm so glad I took the path that led to this And it's amazin' loving you I'm doin' things I never thought I'd do I don't know, there ain't no explanation Of why I'm sharin' love at last this way I won't try to work out all my reasons I'II use these words to simply say I love you just because, (I love you) just because Just because I do - my darlin', you Emotions more than words can help me say I love you, (and I love you, and I love you), my baby I love you just because, (I love you) just because Just because I do - darlin', you Emotions more than words can help me say I love you (And I love you, and I love you) You know I do, baby Could it be that there's more to this that meets the eye? Maybe that's the reason why All I know is when I'm in your arms, it feels all right I hold on tight, and I come alive (I love you) just because, (I love you) Surely do - my darlin' Emotions more than words can help me say I love you (And I love you, and I love you) Hey, a-hey-hey, a-hey, hey... (I love you) Just because, (I love you) Just because I do - oh, yeah (Darlin'...) I, I couldn't take it back if I wanted to I just love you... (And I love you, and I love you) Hey, hey, I just love you, baby (I love you) just because, (I love you) Ain't nothin' I can do... (Darlin') Nothin' I can do about it, nothin' I can do about it I just love you... (And I love you, and I love you) I just love you, I just love you (I love you) just because, (I love you) Couldn't take it back if I wanted to (Darlin'...) That's just the way it is, baby That's just the way it is, baby (And I love you, and I love you) Oh, hey, don't I love you (I love you) just because, (I love you...)
Just Gettin' Started	Jason Aldean	0	I knew the minute that I picked you up It was gonna be a wild ride You kissed me like you couldn't get enough Barely made it out of your drive Burn a little rubber at the red light Got a little warning from the blue lights It's only going nine o'clock but feels more like midnight We ain't even turned up the radio Ain't been two miles down the road The way you look at me baby I don't know If we even gonna make it to the party Yeah we gotta whole lot of moonlight left Already having the time of my lives And we're just getting started tonight Girl you already got the window down And you got your seat laid back I ain't even made it halfway to town And you're already talking about a six pack Already got your shoes off And you talking about slipping off No we ain't even found your friends saying You already wanna get lost We ain't even turned up the radio Ain't been two miles down the road The way you look at me baby I don't know If we even gonna make it to the party Yeah we gotta whole lot of moonlight left Already having the time of my lives And we're just getting started tonight Ain't had a drink and I'm tore up Ain't even had a taste of your love But girl the crazy thing is We're just getting warmed up We ain't even turned up the radio Ain't been two miles down the road The way you look at me baby I don't know If we even gonna make it to the party Yeah we gotta whole lot of moonlight left Already having the time of my lives And we're just getting started tonight And we're just getting started tonight
Just Got Paid	Johnny Kemp	1	Just got paid; it's Friday night Party hunting, feeling right Body shaking, all around Know one thing: I'm getting down Check the mirror, I'm looking fly Round up my posse, jump in my ride Radio rocking a monster jam Feel the rhythm, pump up the sound Feeling so good Don't you know I'm just grooving to the beat? I'm grooving, grooving Yeah, yeah, yeah, yeah, yeah, yeah Just got paid; it's Friday night Party hunting, the bass is right Booty shaking all around Poured my drink, now I'm getting down On the floor rocking to the beat Oh-wee, you sure look sweet Fine young lady, standing by Come on, baby, sweet eye delight I love the way that you move; you look so sweet When you're moving to the beat I'm tired of all these boring parties Why don't we get on down? Come on, let's get on down now Getting down Say ho (You say it) Say ho-ho (Ho-ho) Say ho On the floor rocking to the beat (Rocking, baby) Oh-wee, you sure look sweet Fine young lady standing by (Come here) Come on, baby, look me in my eye Getting down, yeah, getting down Say ho (Ho-ho) Say ho-ho (Ho-ho-ho) Say ho Teddy, you play it Shake it up, shake it up I just got paid I'm feeling, I'm feeling right Just got paid, it's Friday [?] have a good time Having a good time, baby Having a good time, baby I'm getting down Getting down, getting down I'm getting down down I'm getting down down
Just Got Started Lovin' You	James Otto	0	You don't have to go now honey Call and tell 'em you won't be in today Baby there ain't nothin' at the office So important it can't wait I'm thankful for the weekend But two days in heaven just ain't gonna do This is gonna take forever darlin' Girl I just got started lovin' you What's the point in fightin' what we're feelin' We both know we'll never win Ain't this what we're missin' Let's just stop all this resistin' and give in Let me wrap my arms around you You know you don't want to leave this room Come back and let me hold you darlin' Girl I just got started lovin' you What can I say I've never felt this way Girl you're like a dream come true After all the love we've made It sure would be a shame If we let this moment end so soon So won't you lay back down beside me Girl just like I know you're wantin' to Trust me when I tell you darlin' Girl I just got started lovin' you I'm thankful for the weekend But two days in heaven just ain't gonna do This is gonna take forever darlin' Girl I just got started lovin' you Come back and let me hold you darlin' Girl I just got started lovin' you What can I say I've never felt this way Girl you're like a dream come true After all the love we've made It sure would be a shame If we let this moment end so soon I'm thankful for the weekend But two days in heaven just ain't gonna do This is gonna take forever darlin' Girl I just got started lovin' you Come back and let me hold you darlin' Girl I just got started lovin' you
Just Kickin' It	Xscape	1	Every man wants a woman Where him and her can just go hang Just the two of them alone, kick back Doing their own thing (Doing their own thing ) And every man wants a woman That can always keep him in the mood And I'm that kind of girl So this is what I tell my dude I tell him to kick off your shoes and relax your feet Party on down to the Xscape beat Just kick it Just kick it, just kick it, just kick it I tell him to kick off your shoes and relax your feet Party on down to the Xscape beat Just kick it Just kick it, just kick it, just kick it Every man wants a woman That can cook him up a good meal A woman he can treat like his homie And take her out on the Ave. and just chill Every man wants a woman That ain't good for just laying on her back And I'm that kind of woman So before me and my man get in the sack... I tell him to kick off your shoes and relax your feet Party on down to the Xscape beat Just kick it Just kick it, just kick it Kick off your shoes and relax your feet Party on down to the Xscape beat Just kick it Just kick it, just kick it Kick off your shoes and relax your feet Party on down to the Xscape beat Just kick it Just kick it, just kick it Kick off your shoes and relax your feet Party on down to the Xscape beat Just kick it Just kick it, just kick it This is for the niggas, strictly for the niggas This is for the niggas, the real niggas This is for the niggas, strictly for the niggas This is for the niggas, the real niggas This is for the niggas, strictly for the niggas This is for the niggas, the real niggas This is for the niggas, strictly for the niggas This is for the niggas,  the real niggas Kick off your shoes and relax your feet Party on down to the Xscape beat Just kick it Just kick it, just kick it Kick off your shoes and relax your feet Party on down to the Xscape beat Just kick it Just kick it, just kick it
Just to See You Smile	Tim McGraw	0	You always had an eye for things that glittered But I was far from bein' made of gold I don't know how but I scraped up the money I just never could quite tell you no Just like when you were leavin' Amarillo Takin' that new job in Tennessee And I quit mine so we could be together I can't forget the way you looked at me Just to see you smile I'd do anything that you wanted me to When all is said and done I'd never count the cost It's worth all that's lost Just to see you smile When you said time was all you really needed I walked away and let you have your space 'Cause leavin' didn't hurt me near as badly As the tears I saw rollin' down your face And yesterday I knew just what you wanted When you came walkin' up to me with him So I told you that I was happy for you And given the chance I'd lie again Just to see you smile I'd do anything that you wanted me to When all is said and done I'd never count the cost It's worth all that's lost Just to see you smile Just to see you smile I'd do anything that you wanted me to When all is said and done I'd never count the cost It's worth all that's lost Just to see you smile
Keep It Between the Lines	Ricky Van Shelton	0	He was sitting beside me in the passenger seat As I looked through the windshield at the quiet little street He was smiling so proud as he gave me the key But inside I knew he was as nervous as me And I said daddy oh daddy are you sure I know how Are you sure that I'm ready to drive this car now He said I'm right here beside you and you're gonna do fine All you gotta do is keep it between the lines Cause it's a long narrow road Only the good Lord knows where it leads in the end but you got to begin So keep your hands on the wheel believe in the things that are real Just take your time and keep it between the lines I was sitting in my chair and sneaking a look at him Lying on the floor with his coloring book Then he caught me watching and he climbed on my knee He said daddy oh daddy would you do one with me Then I hugged him so tightly as we turned the page Said I haven't done this since I was your age He said I'm right here beside you and you're gonna do fine Daddy all you gotta do is keep it between the lines So we finished the picture and I put him to bed Got down on my knees and I bowed my head And I said father oh father I feel so alone Are you sure I can raise him with his mommy gone Then the answer came back so gentle and low And words of my daddy from so long ago Said I'm right here beside you and you're gonna do fine All you gotta do is keep it between the lines So keep your hands on the wheel believe in the things that are real Take your time and keep it between the lines Just take your time and keep it between the lines Just take your time and keep it between the lines
Keep It Comin'	Keith Sweat	1	Kick it one time Keep it comin', girl I want it Turn me on with all the kissing and hugging Do me baby, drive me crazy I can never get enough of your lovin' Feels so good when I'm with you You know I gotta have your love Every day and every night You're the one I'm thinking of (You've got all I love) Everything that I like, oh yes you do (Let's make love tonight) All you gotta do is bring your body right here, babe Keep it comin', girl I want it Turn me on with all the kissing and hugging Do me baby, drive me crazy I can never get enough of your lovin' Ooh ooh baby Kissing you is such a thrill Take you for a natural high Can't explain the way it feels When it goes up deep inside (Let me hold you tight) Hold you tight And have your body all night long, girl (Give me all you got) Give me all you got, babe Don't you ever smile, babe Keep it comin', girl I want it Turn me on with all the kissing and hugging Do me baby, drive me crazy I can never get enough of your lovin' (Let your hair down, come lay next to me Feel my body, give me the love that I need) All you do is let your pretty hair down girl Baby, you're right next to me Keep it comin', girl I want it Turn me on with all the kissing and hugging Do me baby, drive me crazy I can never get enough of your lovin'
